ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (April 2018)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2018-04-01,01,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4
,02,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4
,03,3,4,4,3,4,4,4,4,4,3,4,4,2,4,3,3
,04,3,4,3,3,3,3,4,3,4,3,3,3,2,3,3,3
,05,3,4,3,3,3,3,3,3,3,2,3,3,2,3,3,3
,06,3,4,3,3,3,3,3,3,3,2,3,3,2,3,3,3
,07,3,4,3,3,3,3,3,3,3,2,3,3,2,3,3,3
,08,3,4,3,3,3,3,3,3,3,2,3,3,2,4,3,3
,09,3,4,4,3,3,3,4,3,3,2,3,3,2,4,3,4
,10,4,4,4,3,4,3,4,3,3,2,3,3,3,4,4,4
,11,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4
,12,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,13,4,4,4,4,4,4,4,4,4*,4,4,4,4,4,4,4
,14,4,4,4,4,5,4,4,5,4*,4,4,4,4,4,4,5
,15,5,5,4,4,5,5,4,5,4*,4,5,5,4,5,4,5
,16,5,5,4,5,5,5,5,5,5*,4,5,5,5,5,4,5
,17,5,5,4,5,5,5,5,5,5*,4,5,5,4,5,4,5
,18,5,5,4,4,5,5,5,5,5*,4,5,5,4,5,5,5
,19,5,5,4,4,5,4,5,4,5*,4,5,5,4,6,4,5
,20,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,5
,21,4,5,4,4,5,4,4,4,4,3,4,4,4,5,4,5
,22,4,5,4,4,4,4,4,4,4,3,4,4,4,5,4,5
,23,4,4,4,4,4,3,4,4,4,3,4,4,4,5,4,5
